index,symbol,exchange,name
0,V0,dce,PVC连续
1,P0,dce,棕榈油连续
2,B0,dce,豆二连续
3,M0,dce,豆粕连续
4,I0,dce,铁矿石连续
5,JD0,dce,鸡蛋连续
6,L0,dce,塑料连续
7,PP0,dce,聚丙烯连续
8,FB0,dce,纤维板连续
9,BB0,dce,胶合板连续
10,Y0,dce,豆油连续
11,C0,dce,玉米连续
12,A0,dce,豆一连续
13,J0,dce,焦炭连续
14,JM0,dce,焦煤连续
15,CS0,dce,淀粉连续
16,EG0,dce,乙二醇连续
17,RR0,dce,粳米连续
18,EB0,dce,苯乙烯连续
19,LH0,dce,生猪连续
20,TA0,czce,PTA连续
21,OI0,czce,菜油连续
22,RS0,czce,菜籽连续
23,RM0,czce,菜粕连续
24,ZC0,czce,动力煤连续
25,WH0,czce,强麦连续
26,JR0,czce,粳稻连续
27,SR0,czce,白糖连续
28,CF0,czce,棉花连续
29,RI0,czce,早籼稻连续
30,MA0,czce,甲醇连续
31,FG0,czce,玻璃连续
32,LR0,czce,晚籼稻连续
33,SF0,czce,硅铁连续
34,SM0,czce,锰硅连续
35,CY0,czce,棉纱连续
36,AP0,czce,苹果连续
37,CJ0,czce,红枣连续
38,UR0,czce,尿素连续
39,SA0,czce,纯碱连续
40,PF0,czce,短纤连续
41,PK0,czce,花生连续
42,FU0,shfe,燃料油连续
43,SC0,ine,上海原油连续
44,AL0,shfe,铝连续
45,RU0,shfe,天然橡胶连续
46,ZN0,shfe,沪锌连续
47,CU0,shfe,铜连续
48,AU0,shfe,黄金连续
49,RB0,shfe,螺纹钢连续
50,WR0,shfe,线材连续
51,PB0,shfe,铅连续
52,AG0,shfe,白银连续
53,BU0,shfe,沥青连续
54,HC0,shfe,热轧卷板连续
55,SN0,shfe,锡连续
56,NI0,shfe,镍连续
57,SP0,shfe,纸浆连续
58,NR0,ine,20号胶连续
59,SS0,shfe,不锈钢连续
60,LU0,ine,低硫燃料油连续
61,BC0,ine,国际铜连续
62,IF0,cffex,沪深300指数期货连续
63,TF0,cffex,5年期国债期货连续
64,IH0,cffex,上证50指数期货连续
65,IC0,cffex,中证500指数期货连续
66,TS0,cffex,2年期国债期货连续
