symbol,name,market,publisher,category,base_date,base_point,list_date
000010.SH,上证180,SSE,中证指数有限公司,规模指数,20020628,3299.06,20020701
000015.SH,红利指数,SSE,中证指数有限公司,策略指数,20041231,1000.0,20050104
000016.SH,上证50,SSE,中证指数有限公司,规模指数,20031231,1000.0,20040102
000018.SH,180金融,SSE,中证指数有限公司,行业指数,20020628,1000.0,20071210
000036.SH,上证消费,SSE,中证指数有限公司,一级行业指数,20031231,1000.0,20090109
000068.SH,上证资源,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100528
000069.SH,消费80,SSE,中证指数有限公司,主题指数,20031231,1000.0,20100528
000300.SH,沪深300,SSE,中证指数有限公司,规模指数,20041231,1000.0,20050408
000682.SH,科创信息,SSE,中证指数有限公司,主题指数,20191231,1000.0,20210816
000685.SH,科创芯片,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220613
000688.SH,科创50,SSE,中证指数有限公司,规模指数,20191231,1000.0,20200723
000689.SH,科创材料,SSE,中证指数有限公司,主题指数,20191231,1000.0,20220815
000690.SH,科创成长,SSE,中证指数有限公司,策略指数,20191231,1000.0,20221104
000698.SH,科创100,SSE,中证指数有限公司,规模指数,20191231,1000.0,20230807
000813.SH,细分化工(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000814.SH,细分医药,SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000815.SH,细分食品(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20120411
000819.SH,有色金属,SSE,中证指数有限公司,行业指数,20041231,1000.0,20120509
000827.SH,中证环保,SSE,中证指数有限公司,主题指数,20111230,1000.0,20120925
000849.SH,300非银,SSE,中证指数有限公司,主题指数,20041231,1000.0,20121221
000852.SH,中证1000,SSE,中证指数有限公司,规模指数,20041231,1000.0,20141017
000859.CSI,国企一带一路,CSI,中证指数有限公司,主题指数,20131231,1000.0,20190516
000861.CSI,央企创新,CSI,中证指数有限公司,主题指数,20121231,1000.0,20190516
000903.SH,中证100,SSE,中证指数有限公司,规模指数,20051230,1000.0,20060529
000905.SH,中证500,SSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
000906.SH,中证800,SSE,中证指数有限公司,规模指数,20041231,1000.0,20070115
000918.CSI,300成长,CSI,中证指数有限公司,风格指数,20041231,1000.0,20080121
000919.CSI,300价值,CSI,中证指数有限公司,风格指数,20041231,1000.0,20080121
000922.CSI,中证红利,CSI,中证指数有限公司,策略指数,20041231,1000.0,20080526
000933.SH,800医药,SSE,中证指数有限公司,一级行业指数,20041231,1000.0,20090703
000941.SH,新能源(SH),SSE,中证指数有限公司,主题指数,20081231,1000.0,20091028
000949.SH,中证农业(SH),SSE,中证指数有限公司,主题指数,20041231,1000.0,20091028
000977.CSI,内地低碳,CSI,中证指数有限公司,主题指数,20100630,1000.0,20110121
000991.SH,全指医药,SSE,中证指数有限公司,一级行业指数,20041231,1000.0,20110802
000993.SH,全指信息,SSE,中证指数有限公司,一级行业指数,20041231,1000.0,20110802
399005.SZ,中小100,SZSE,深圳证券交易所,规模指数,20050607,1000.0,20060124
399006.SZ,创业板指,SZSE,深圳证券交易所,规模指数,20100531,1000.0,20100601
399293.SZ,创业大盘,SZSE,深圳证券交易所,规模指数,20121231,1000.0,20190418
399296.SZ,创成长,SZSE,深圳证券交易所,主题指数,20121231,1000.0,20190123
399303.SZ,国证2000,SZSE,深圳证券交易所,规模指数,20091231,3326.4448,20140328
399324.SZ,深证红利,SZSE,深圳证券交易所,主题指数,20021231,1000.0,20060124
399330.SZ,深证100,SZSE,深圳证券交易所,规模指数,20021231,1000.0,20060124
399396.SZ,国证食品,SZSE,深圳证券交易所,主题指数,20041231,1000.0,20121029
399433.SZ,国证交运,SZSE,深圳证券交易所,二级行业指数,20021231,1000.0,20141230
399437.SZ,证券龙头,SZSE,深圳证券交易所,主题指数,20021231,1000.0,20141230
399441.SZ,生物医药,SZSE,深圳证券交易所,主题指数,20091231,1000.0,20150120
399673.SZ,创业板50,SZSE,深圳证券交易所,规模指数,20100531,1000.0,20140618
399808.SZ,中证新能,SZSE,中证指数有限公司,主题指数,20111231,1000.0,20150210
399913.SZ,沪深300医药,SZSE,中证指数有限公司,一级行业指数,20041231,1000.0,20070702
399928.SZ,800能源,SZSE,中证指数有限公司,一级行业指数,20041231,1000.0,20090703
399932.SZ,800消费,SZSE,中证指数有限公司,一级行业指数,20041231,1000.0,20090703
399967.SZ,中证军工,SZSE,中证指数有限公司,主题指数,20041231,1000.0,20131226
399971.SZ,中证传媒,SZSE,中证指数有限公司,主题指数,20101231,1000.0,20140415
399973.SZ,中证国防,SZSE,中证指数有限公司,主题指数,20110630,1000.0,20140415
399975.SZ,证券公司,SZSE,中证指数有限公司,四级行业指数,20070629,1000.0,20130715
399976.SZ,CS新能车,SZSE,中证指数有限公司,主题指数,20111231,1000.0,20141128
399986.SZ,中证银行,SZSE,中证指数有限公司,二级行业指数,20041231,1000.0,20130715
399987.SZ,中证酒,SZSE,中证指数有限公司,主题指数,20081231,1000.0,20141210
399989.SZ,中证医疗,SZSE,中证指数有限公司,主题指数,20041231,1000.0,20141031
399995.SZ,基建工程,SZSE,中证指数有限公司,行业指数,20041231,1000.0,20150312
399998.SZ,中证煤炭,SZSE,中证指数有限公司,三级行业指数,20081231,1000.0,20150213
716567.CSI,MSCI中国A股国际通实时(人民币),CSI,MSCI指数,规模指数,20081125,1000.0,20171023
930598.CSI,稀土产业,CSI,中证指数有限公司,主题指数,20111231,1000.0,20150302
930601.CSI,中证软件,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150310
930604.CSI,中国互联网30,CSI,中证指数有限公司,主题指数,20070629,1000.0,20150323
930606.CSI,中证钢铁,CSI,中证指数有限公司,主题指数,20081231,1000.0,20150331
930608.CSI,中证基建,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150331
930614.CSI,环保50,CSI,中证指数有限公司,主题指数,20111230,1000.0,20150407
930632.CSI,CS稀金属,CSI,中证指数有限公司,主题指数,20111231,1000.0,20150512
930633.CSI,中证旅游,CSI,中证指数有限公司,主题指数,20081231,1000.0,20150508
930641.CSI,中证中药,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150519
930651.CSI,CS计算机,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150605
930652.CSI,CS电子,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150605
930653.CSI,CS食品饮,CSI,中证指数有限公司,主题指数,20041231,1000.0,20150605
930697.CSI,家用电器,CSI,中证指数有限公司,三级行业指数,20041231,1000.0,20150707
930707.CSI,中证畜牧,CSI,中证指数有限公司,主题指数,20111231,1000.0,20150713
930708.CSI,中证有色,CSI,中证指数有限公司,主题指数,20131231,1000.0,20150713
930713.CSI,CS人工智,CSI,中证指数有限公司,主题指数,20120629,1000.0,20150731
930716.CSI,CS物流,CSI,中证指数有限公司,主题指数,20111230,1000.0,20150731
930721.CSI,CS智汽车,CSI,中证指数有限公司,主题指数,20120629,1000.0,20150805
930726.CSI,CS生医,CSI,中证指数有限公司,主题指数,20120629,1000.0,20150805
930743.CSI,中证生科,CSI,中证指数有限公司,主题指数,20111231,1000.0,20150826
930781.CSI,中证影视,CSI,中证指数有限公司,主题指数,20120629,1000.0,20160204
930851.CSI,云计算,CSI,中证指数有限公司,主题指数,20120629,1000.0,20160720
930901.CSI,动漫游戏,CSI,中证指数有限公司,主题指数,20121231,1000.0,20161018
930902.CSI,中证数据,CSI,中证指数有限公司,主题指数,20121231,1000.0,20161018
930939.CSI,500质量,CSI,中证指数有限公司,策略指数,20041231,1000.0,20181121
930986.CSI,金融科技,CSI,中证指数有限公司,主题指数,20140630,1000.0,20170622
930997.CSI,新能源车,CSI,中证指数有限公司,主题指数,20141231,1000.0,20170719
931009.CSI,建筑材料,CSI,中证指数有限公司,主题指数,20041231,1000.0,20130715
931066.CSI,军工龙头,CSI,中证指数有限公司,主题指数,20121231,1000.0,20180205
931071.CSI,人工智能,CSI,中证指数有限公司,主题指数,20141231,1000.0,20181121
931079.CSI,5G通信,CSI,中证指数有限公司,主题指数,20151231,1000.0,20190425
931087.CSI,科技龙头,CSI,中证指数有限公司,主题指数,20120629,1000.0,20190320
931139.CSI,CS消费50,CSI,中证指数有限公司,主题指数,20041231,1000.0,20190320
931140.CSI,医药50,CSI,中证指数有限公司,主题指数,20041231,1000.0,20190320
931151.CSI,光伏产业,CSI,中证指数有限公司,主题指数,20121231,1000.0,20190422
931152.CSI,CS创新药,CSI,中证指数有限公司,主题指数,20141231,1000.0,20190422
931160.CSI,通信设备,CSI,中证指数有限公司,主题指数,20041231,1000.0,20130715
931187.CSI,科技100,CSI,中证指数有限公司,主题指数,20140613,1000.0,20190530
931380.CSI,科技50,CSI,中证指数有限公司,主题指数,20140630,1000.0,20191125
931403.CSI,品牌工程,CSI,中证指数有限公司,主题指数,20170825,1000.0,20200114
931461.CSI,电子50,CSI,中证指数有限公司,主题指数,20081231,1000.0,20090722
931463.CSI,300 ESG,CSI,中证指数有限公司,主题指数,20170630,1000.0,20200430
931484.CSI,CS医药创新,CSI,中证指数有限公司,主题指数,20141231,1000.0,20200506
931494.CSI,消费电子,CSI,中证指数有限公司,主题指数,20121231,1000.0,20200612
931521.CSI,高装细分50,CSI,中证指数有限公司,主题指数,20121231,1000.0,20200708
931582.CSI,数字经济,CSI,中证指数有限公司,主题指数,20161230,1000.0,20201109
931643.CSI,科创创业50,CSI,中证指数有限公司,规模指数,20191231,1000.0,20210601
931719.CSI,CS电池,CSI,中证指数有限公司,主题指数,20141231,1000.0,20130715
931755.CSI,SEEE碳中和,CSI,中证指数有限公司,主题指数,20170630,1000.0,20211021
931775.CSI,中证全指房地产,CSI,中证指数有限公司,一级行业指数,20041231,1000.0,20130715
931866.CSI,中证机床,CSI,中证指数有限公司,主题指数,20161230,1000.0,20220509
931897.CSI,绿色电力,CSI,中证指数有限公司,主题指数,20170630,1000.0,20121221
932000.CSI,中证2000,CSI,中证指数有限公司,规模指数,20131231,1000.0,20230811
h11052.CSI,智能电车,CSI,中证指数有限公司,主题指数,20141231,1000.0,20090722
h30007.CSI,芯片产业,CSI,中证指数有限公司,主题指数,20151231,1000.0,20121220
h30015.CSI,中证800汽车,CSI,中证指数有限公司,主题指数,20041231,1000.0,20121221
h30022.CSI,800银行,CSI,中证指数有限公司,二级行业指数,20041231,1000.0,20121221
h30184.CSI,中证全指半导体,CSI,中证指数有限公司,二级行业指数,20041231,1000.0,20130715
h30199.CSI,中证全指电力指数,CSI,中证指数有限公司,三级行业指数,20041231,1000.0,20130715
h30202.CSI,软件指数,CSI,中证指数有限公司,主题指数,20041231,1000.0,20130715
h30217.CSI,医疗器械,CSI,中证指数有限公司,三级行业指数,20041231,1000.0,20130715
h30269.CSI,红利低波,CSI,中证指数有限公司,策略指数,20051230,1000.0,20131219
h30590.CSI,机器人,CSI,中证指数有限公司,主题指数,20101231,1000.0,20150210
h30597.CSI,新材料,CSI,中证指数有限公司,主题指数,20081231,1000.0,20150213
